CountryName,CountryCode,Year,PopulationFemale,PopulationFemalePercentOfTotal,LaborForceFemale,LaborForceFemalePercentOfTotalLaborForce,LaborForceTotal,ProportionOfSeatsHeldByWomenInNationalParliamentsPercent
Congo-Rep.,COG,2013,2196558,49.9861412446118,868748,48.6687559032886,1785022,7.4
Costa Rica,CRI,2013,2350556,49.9434709896008,847239,37.185520961758,2278411,38.6
Cote d'Ivoire,CIV,2013,10608968,49.0645064467598,3139307,37.8309933394318,8298241,10.4
Croatia,HRV,2013,2203662,51.7815651046928,844851,45.6123197658191,1852243,23.8
Cuba,CUB,2013,5651903,49.7416986835209,2051341,38.2737651112861,5359653,48.9
Cyprus,CYP,2013,558791,48.9458258733835,260499,43.1434737171599,603797,10.7
Czech Republic,CZE,2013,5348968,50.8734021575839,2349807,44.0204953780304,5337984,19.5
Denmark,DNK,2013,2828429,50.3733358130524,1381911,47.6245304873489,2901679,39.1
Djibouti,DJI,2013,430310,49.7724838471628,104719,34.8957482896855,300091,12.7
Dominican Republic,DOM,2013,5154841,50.1375006224828,1853816,39.9911639662401,4635564,20.8
Ecuador,ECU,2013,7829381,49.9918589196103,3038130,40.2164926100393,7554438,38.7
Egypt-Arab Rep.,EGY,2013,43358108,49.4876994930109,6987899,24.1182075702032,28973542,NULL
El Salvador,SLV,2013,3224328,52.9477256798591,1137749,41.9581211300952,2711630,26.2
Equatorial Guinea,GNQ,2013,388341,48.7203324124745,187044,44.8055727895328,417457,12.1
Eritrea,ERI,2013,2497012,49.9519887077441,1161338,47.8305027783864,2428028,22
Estonia,EST,2013,702450,53.296769061778,338591,49.0922192708756,689704,20.8
Ethiopia,ETH,2013,47364217,50.0899232890786,21436453,47.2656633104845,45353120,27.8
Fiji,FJI,2013,431995,49.0631888943278,115933,33.644824554021,344579,NULL
Finland,FIN,2013,2765015,50.8370803114067,1298280,47.7087644294318,2721261,42.5
France,FRA,2013,33834354,51.3221062371687,14130821,47.0544697600691,30030773,26.9
French Polynesia,PYF,2013,135308,48.8889531228547,49314,41.2507214735627,119547,NULL
Gabon,GAB,2013,816381,49.4671133595217,286876,45.7065834776554,627647,15.8
Gambia-The,GMB,2013,942632,50.4924263931548,370679,47.863021622864,774458,7.5
Georgia,GEO,2013,2349955,52.3701927657666,1122753,46.4554512962805,2416838,12
Germany,DEU,2013,41063496,50.9184553988692,19254469,45.8641922742847,41981485,36.5
Ghana,GHA,2013,13182395,50.3828823801717,5513207,49.8083314022375,11068845,10.9
Greece,GRC,2013,5635838,51.1068944793582,2142876,42.7873231176931,5008203,21
Guam,GUM,2013,81325,49.2517608299368,33609,44.0779551207229,76249,NULL
